date,count,uniques
2026-03-18,0,0
2026-03-19,0,0
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,2,2
2026-03-25,2,2
2026-03-26,1,1
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,4,3
2026-03-30,2,2
2026-03-31,0,0
2026-04-01,1,1
2026-04-02,2,2
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,3,3
2026-04-06,1,1
2026-04-07,4,4
2026-04-08,4,2
2026-04-09,1,1
2026-04-10,0,0
2026-04-11,2,2
2026-04-12,0,0
2026-04-13,0,0
2026-04-14,2,2
2026-04-15,0,0
2026-04-16,0,0
2026-04-17,2,1
